prob_cases,tot_death
220978.0,16377
0.0,0
29179.0,2911
0.0,3787
157189.0,18646
456571.0,42158
101649.0,7488
278141.0,14010
193571.0,34153
0.0,0
169561.0,13755
4107.0,3176
380626.0,40485
8390.0,3210
4318.0,20527
0.0,3
160172.0,12732
0.0,2365
6869.0,23505
578130.0,38242
0.0,0
0.0,1976
0.0,30
0.0,2497
129164.0,11649
350512.0,25478
422839.0,20263
4105.0,3112
167782.0,33416
350441.0,11652
5308.0,1577
0.0,2159
549807.0,5193
0.0,2994
8153.0,4456
162877.0,32758
0.0,2224
288569.0,14472
59898.0,9873
365357.0,19694
348714.0,40134
395197.0,22033
163528.0,21176
4500.0,3307
14222.0,5547
0.0,2
6679.0,4248
359767.0,12450
128080.0,11984
4047.0,10048
0.0,6879
0.0,2
0.0,4847
52567.0,7522
0.0,0
5897.0,23353
174668.0,12963
647.0,250
0.0,3
0.0,2
94672.0,8355
82.0,118
33641.0,6201
0.0,0
5882.0,3907
131253.0,23109
571206.0,38157
0.0,1
0.0,2
215081.0,10075
0.0,3787
58177.0,7971
3823.0,9996
17.0,1404
161353.0,13365
16805.0,2463
413958.0,31418
0.0,0
7201.0,2182
110897.0,10799
0.0,3347
534872.0,26850
165807.0,33158
382891.0,30823
89.0,160
29875.0,15995
1846.0,1271
72551.0,9344
0.0,0
263795.0,22490
0.0,2395
663914.0,40025
0.0,0
219623.0,10264
72034.0,5674
0.0,2
4549.0,3344
16428.0,2426
0.0,3428
52670.0,25149
0.0,2
544139.0,31987
13752.0,23798
3522.0,2818
222006.0,16441
0.0,0
436881.0,22920
0.0,1493
0.0,0
242.0,215
332658.0,37367
20.0,121
0.0,0
0.0,2
178830.0,33650
124240.0,7453
260669.0,4223
159640.0,7931
96713.0,6500
0.0,2323
318586.0,14593
170999.0,21646
1984.0,971
0.0,0
233878.0,10450
20814.0,4375
600255.0,27538
0.0,0
488141.0,26198
4.0,2
104387.0,9316
407.0,377
465246.0,31801
0.0,46
159791.0,32443
363541.0,19650
0.0,0
7115.0,4411
0.0,2
0.0,0
369078.0,12481
0.0,17
0.0,0
55551.0,7755
77799.0,10381
496704.0,26477
475.0,557
0.0,0
0.0,43
459598.0,31744
58315.0,19087
8960.0,2353
385369.0,19850
64120.0,19430
0.0,2
298117.0,18145
0.0,2
167939.0,33426
115024.0,11005
146378.0,20409
3190.0,3091
537062.0,5074
5476.0,23263
8319.0,23608
229.0,728
27407.0,4579
0.0,7184
138.0,265
400249.0,12648
436896.0,41580
0.0,787
3.0,0
0.0,4761
131700.0,23370
104.0,189
101122.0,7474
0.0,2082
25761.0,14768
5936.0,23354
998.0,1634
369454.0,12489
168229.0,15130
127376.0,11966
149174.0,18347
66351.0,4951
0.0,1765
197112.0,13345
0.0,0
354522.0,25933
244.0,633
355045.0,4408
173754.0,21771
5198.0,3618
430245.0,22776
339654.0,39417
0.0,3749
0.0,1
15555.0,2306
159523.0,13263
140485.0,12632
152215.0,12568
155232.0,13090
426678.0,12853
127270.0,11951
150589.0,9497
272358.0,13278
347998.0,18746
173144.0,12941
601422.0,37793
4048.0,1837
652777.0,39632
143044.0,20357
0.0,30
16565.0,12821
78330.0,10383
168013.0,15092
597926.0,37018
198.0,468
7962.0,4635
6429.0,4126
271702.0,16175
379719.0,30571
0.0,4730
22868.0,5569
0.0,0
0.0,0
489423.0,26240
0.0,5
65058.0,25799
0.0,3770
125519.0,7507
0.0,4869
207609.0,4140
0.0,40
33922.0,3266
117508.0,7184
277114.0,4240
127674.0,11977
485820.0,26109
3427.0,1264
93099.0,8311
346744.0,14924
126872.0,11887
150875.0,12496
399607.0,40832
999.0,1271
0.0,0
10753.0,2909
103.0,180
291.0,747
82557.0,20315
155884.0,12666
489749.0,4830
10627.0,5075
0.0,40
204438.0,34537
110920.0,10927
0.0,0
0.0,0
333543.0,21035
361120.0,19562
6637.0,23479
94878.0,7261
30612.0,6099
0.0,37
0.0,2
173193.0,19344
0.0,0
104553.0,7524
13.0,100
0.0,0
150724.0,12492
7.0,13
228.0,515
21120.0,6274
252767.0,21945
149473.0,12400
0.0,529
44319.0,7047
132364.0,12513
0.0,2256
0.0,0
0.0,0
7185.0,23530
175288.0,33564
236.0,209
200130.0,34391
8.0,37
445541.0,20508
41788.0,6924
0.0,0
18198.0,3761
102887.0,10497
394345.0,12589
0.0,2
106176.0,10783
201333.0,18464
137400.0,11976
80651.0,20273
389523.0,4504
72973.0,19927
141822.0,8970
96281.0,7362
204164.0,13486
24417.0,5731
332658.0,37367
124485.0,7460
101395.0,10430
650437.0,38657
362179.0,19605
404010.0,4544
136255.0,17125
0.0,40
39607.0,6725
0.0,917
876.0,4504
280182.0,23327
134243.0,20098
0.0,0
205243.0,11740
5660.0,1660
0.0,2
179452.0,16610
185968.0,33864
0.0,23
59342.0,5230
51885.0,18362
0.0,0
568890.0,38086
441556.0,20477
330788.0,17896
253196.0,10527
0.0,31
194783.0,34196
0.0,0
2580.0,1271
639557.0,38657
550048.0,31987
34065.0,3269
17196.0,2514
160802.0,13333
149.0,1115
561380.0,37127
154.0,1135
152544.0,12576
484608.0,25882
6287.0,3752
152454.0,12986
387234.0,31038
166595.0,12835
0.0,3640
140939.0,12081
0.0,2
133404.0,20041
353102.0,19144
0.0,2
0.0,6678
74725.0,9841
161873.0,11223
0.0,1016
136.0,1046
244063.0,10492
13524.0,1992
0.0,0
233631.0,14010
491304.0,26267
31902.0,16420
470583.0,4778
102041.0,10616
201402.0,3925
1576.0,1992
609228.0,27818
566434.0,37969
0.0,3896
657106.0,39772
140103.0,17189
174890.0,8279
20055.0,13474
35088.0,16938
37099.0,6402
166325.0,33221
8114.0,2023
0.0,30
173958.0,15871
143584.0,12163
339.0,633
367945.0,19713
151721.0,18388
0.0,2186
68232.0,8834
15251.0,3620
8046.0,23585
139428.0,8772
3987.0,1896
160329.0,13316
205700.0,4078
1856.0,2094
561826.0,37332
361221.0,40241
783.0,871
2475.0,1206
0.0,0
1336.0,2778
3267.0,1253
6694.0,3186
205552.0,4069
6.0,0
0.0,2
0.0,2
55699.0,18816
428527.0,12879
149399.0,18347
0.0,2
362746.0,19624
179222.0,33659
16.0,1
351001.0,40168
44134.0,7041
24286.0,14383
15216.0,3846
261553.0,12425
0.0,2
255.0,821
609120.0,38821
151072.0,12496
7039.0,1841
384047.0,30882
6090.0,23394
15.0,110
310.0,471
591410.0,38447
141413.0,31224
3.0,0
361844.0,19588
566434.0,37969
40515.0,9102
1876.0,8336
146261.0,31499
425436.0,20285
484960.0,26029
218275.0,19975
6562.0,4165
0.0,2
0.0,4411
0.0,0
5400.0,23233
0.0,0
356807.0,12255
0.0,1975
71113.0,9193
0.0,2
219545.0,10262
2395.0,2149
118601.0,11430
393852.0,40750
0.0,2
0.0,2
614411.0,28017
0.0,0
351139.0,11697
429587.0,12912
0.0,3
76272.0,20075
46471.0,18020
19853.0,2570
92551.0,6384
93443.0,7175
112547.0,7023
0.0,0
429062.0,20318
466571.0,4767
359218.0,19416
46261.0,18011
98304.0,10281
219965.0,10285
181213.0,13096
0.0,56
4828.0,22855
528909.0,33053
308574.0,14555
159850.0,13288
4358.0,1945
497058.0,26477
147942.0,12842
383898.0,19834
42442.0,6951
0.0,4989
104172.0,28825
149025.0,12380
174.0,418
205372.0,4060
29977.0,24187
122384.0,7375
26161.0,2732
0.0,0
473884.0,23990
95056.0,7271
0.0,2
2.0,51
0.0,66
319625.0,14593
266073.0,15687
321247.0,20902
549081.0,5183
0.0,5001
0.0,2
429.0,126
29.0,2052
187.0,420
10074.0,3316
0.0,2
373502.0,12502
506945.0,26555
430817.0,41394
29149.0,15788
53159.0,9567
16664.0,2454
41233.0,7187
0.0,17
31601.0,3153
89.0,782
136191.0,11922
55167.0,7733
122010.0,7363
247.0,220
44.0,41
146331.0,12777
135332.0,30871
34618.0,3276
817.0,1658
5532.0,23282
32.0,2160
0.0,2471
34409.0,3274
160356.0,21035
2572.0,1494
139871.0,31107
44650.0,17742
281800.0,23616
314398.0,25643
156775.0,12676
0.0,37
145405.0,20393
15043.0,3478
6339.0,4076
417643.0,20217
136173.0,20167
526870.0,26769
201402.0,3925
109271.0,9900
273546.0,4232
0.0,2
247553.0,21820
331957.0,37235
280126.0,14173
0.0,0
340817.0,39877
166243.0,21342
0.0,0
86979.0,6505
97038.0,7395
10491.0,5156
135367.0,20143
72044.0,8962
172292.0,21706
484126.0,25647
416156.0,12766
134.0,343
0.0,2
270.0,903
209559.0,4159
61539.0,8186
123487.0,11392
0.0,2
15.0,148
344961.0,14805
333.0,293
72617.0,9380
13899.0,2215
215258.0,10098
0.0,2
10780.0,5083
71671.0,26212
27338.0,7844
86669.0,6471
47872.0,18096
161831.0,32629
3326.0,1763
37666.0,6472
282178.0,14380
0.0,4816
0.0,2037
0.0,1
36931.0,4525
154596.0,13073
169497.0,33482
255907.0,12193
0.0,4747
62399.0,5325
4764.0,3442
363639.0,19650
56509.0,18911
22159.0,6378
26008.0,14900
0.0,3
354722.0,19248
420389.0,22452
345437.0,14884
2042.0,9320
7976.0,2008
0.0,0
127695.0,7590
12417.0,3709
111692.0,10992
46144.0,17977
0.0,33
166621.0,33277
5846.0,3642
489.0,150
0.0,2753
287496.0,17399
161909.0,18827
138466.0,7805
54883.0,6244
208139.0,19176
0.0,0
2781.0,1638
484888.0,26021
443877.0,20503
7393.0,2454
435068.0,20380
359574.0,21302
4298.0,1937
0.0,1790
55178.0,18783
251881.0,21723
120859.0,7295
994.0,967
0.0,0
322.0,811
359015.0,12436
0.0,0
31523.0,16333
304297.0,20613
480692.0,24712
763762.0,40037
353563.0,19185
5373.0,3673
0.0,1949
219470.0,10262
38253.0,17341
574473.0,38198
417312.0,41075
723380.0,39406
29436.0,2945
185474.0,11650
0.0,0
431196.0,20329
233878.0,10450
35317.0,24339
0.0,0
2712.0,1599
215571.0,19784
281977.0,10642
154737.0,12639
226134.0,4190
86360.0,6440
0.0,23
0.0,1796
0.0,0
363581.0,27335
0.0,0
108252.0,7596
13.0,124
23858.0,24018
163528.0,21176
0.0,1
127730.0,11614
97233.0,7404
43067.0,3288
0.0,3
149993.0,12446
0.0,0
117167.0,11202
0.0,0
283787.0,14420
0.0,20
4460.0,1952
348078.0,11558
98506.0,7426
82351.0,8486
0.0,120
0.0,4989
248464.0,4207
100513.0,7467
51996.0,18369
580550.0,34217
149447.0,12887
64689.0,10031
2960.0,2557
7504.0,10735
339485.0,18172
319910.0,20881
28326.0,15506
0.0,2
0.0,2337
0.0,4940
0.0,2
0.0,2
0.0,5011
195143.0,34214
586590.0,27421
9303.0,11186
320873.0,23120
0.0,4834
6514.0,2153
0.0,0
43275.0,6998
0.0,2
29086.0,6060
63020.0,8456
196222.0,34283
231453.0,21443
148430.0,31652
447958.0,41891
69269.0,5593
24.0,1909
402072.0,31297
16.0,59
221730.0,4186
136956.0,11843
402297.0,12665
220471.0,13721
0.0,8
7479.0,2211
95915.0,7354
16650.0,23851
0.0,2905
174362.0,33559
30723.0,3063
217376.0,4184
123393.0,11411
28912.0,15746
87551.0,10631
4538.0,1966
0.0,3
0.0,6268
0.0,2
609828.0,27875
0.0,75
119152.0,7228
0.0,0
