submission_date,state
922,0
388,25
719,24
1,27
257,21
846,20
599,22
258,22
776,20
172,14
722,0
580,7
450,20
784,15
367,20
199,20
611,26
515,27
778,20
435,7
488,25
176,27
155,14
635,27
581,0
779,7
675,0
571,21
515,20
113,15
10,24
284,27
834,24
821,27
649,7
353,20
365,27
495,22
953,7
387,0
291,20
41,26
612,11
598,21
897,21
593,14
718,21
351,15
279,3
879,11
412,11
524,14
561,27
791,3
89,25
673,20
656,26
277,3
856,14
445,14
32,26
271,0
305,3
384,25
670,21
131,11
396,7
265,14
221,14
876,15
998,27
856,3
873,11
364,7
846,3
407,24
998,7
45,0
855,3
47,3
906,27
567,26
407,20
958,7
562,24
139,11
649,26
948,3
118,25
812,21
551,27
762,7
894,25
936,15
0,15
650,14
601,21
383,24
920,27
2,20
514,14
41,21
895,20
517,21
936,0
902,25
80,26
32,27
310,25
553,27
39,20
238,15
434,25
508,14
653,20
482,15
354,24
665,15
46,15
467,27
633,22
792,11
367,3
497,25
998,15
855,0
741,26
1000,25
351,26
175,15
61,26
670,27
23,7
340,27
323,20
327,0
912,25
742,21
644,14
359,25
471,15
768,25
475,25
827,3
975,7
426,26
310,21
208,26
289,24
21,7
888,11
887,3
531,0
940,11
857,14
980,26
704,14
524,20
59,3
387,11
565,7
762,24
613,20
841,20
403,0
877,0
427,11
634,24
615,15
705,20
919,27
921,25
393,27
152,11
592,24
593,22
227,27
67,11
676,20
559,0
474,15
94,7
243,3
215,21
12,22
100,27
695,26
433,25
794,7
781,24
453,24
828,11
631,21
74,26
113,20
982,27
226,24
341,24
774,3
471,3
524,26
663,3
756,15
234,3
848,22
162,22
116,0
653,26
246,21
721,26
699,7
369,11
274,24
4,11
977,7
91,7
177,21
724,24
772,21
700,21
862,26
940,7
270,27
61,3
990,25
778,25
369,26
960,14
24,20
992,27
536,15
582,27
180,24
768,14
924,24
233,15
372,24
258,3
306,26
769,22
30,26
834,22
210,3
461,26
543,20
358,21
889,25
853,26
289,0
841,24
5,11
587,26
648,24
853,21
759,14
866,20
230,0
42,14
578,25
11,26
243,0
760,20
347,22
245,3
286,24
79,14
356,21
914,25
617,22
361,24
605,25
455,26
247,26
490,26
927,21
791,21
413,26
841,27
665,3
378,3
380,27
68,25
52,25
796,20
626,20
547,27
827,20
259,26
834,0
599,3
806,25
901,26
142,0
585,15
283,14
194,0
212,7
269,26
1,11
498,24
980,11
791,22
491,22
707,26
91,3
41,20
497,15
133,0
498,21
273,0
516,24
145,21
807,14
488,3
943,27
262,20
851,21
246,11
841,25
25,22
22,24
427,14
127,7
710,20
56,14
981,15
743,11
598,25
378,7
774,0
68,0
13,15
216,14
785,20
215,25
963,24
453,21
47,21
936,24
455,24
825,3
454,15
261,7
460,15
536,26
270,26
613,7
609,3
978,7
635,26
960,27
305,26
710,14
219,11
149,0
640,14
403,11
970,3
930,22
957,27
436,15
7,15
881,22
838,25
746,26
390,26
170,11
621,24
29,3
80,24
583,15
798,26
363,7
17,27
723,7
164,21
692,15
22,11
218,11
374,3
425,20
151,24
165,14
112,7
329,26
532,26
420,0
230,21
329,27
914,3
867,15
829,20
776,22
664,3
807,3
128,24
595,15
279,7
363,20
586,26
754,22
208,24
514,7
766,22
685,0
125,24
184,3
673,14
733,14
839,11
768,15
218,21
346,14
297,0
656,20
202,3
318,20
662,3
52,11
959,3
98,22
664,14
421,0
561,7
467,26
76,24
966,7
697,20
379,24
304,21
516,7
245,20
919,25
264,0
369,7
915,7
277,20
260,20
684,0
276,26
323,7
709,21
218,14
155,27
173,25
601,20
163,20
195,15
173,27
938,3
379,14
934,15
427,21
79,21
519,20
781,14
403,14
849,26
979,25
116,15
789,15
851,14
992,11
569,11
614,24
36,15
269,22
154,15
202,26
699,0
612,24
195,0
554,11
34,21
938,15
671,26
349,27
502,20
74,7
588,22
789,3
706,3
429,26
555,3
522,0
617,3
747,27
130,20
401,26
454,26
119,24
951,20
386,15
680,24
195,25
134,26
359,22
364,14
304,24
361,27
642,22
833,26
5,26
828,24
753,27
915,14
259,3
430,7
700,24
811,15
743,14
498,15
477,26
666,20
124,11
941,7
398,24
957,21
840,25
800,24
376,15
257,26
821,3
368,15
559,27
244,0
537,3
227,20
962,24
550,15
625,20
448,7
623,27
950,24
555,11
439,3
239,20
380,11
854,21
906,21
593,26
603,14
381,11
887,26
694,21
657,0
288,11
546,26
83,24
79,26
366,24
832,14
779,21
37,20
306,22
396,25
165,20
669,11
251,25
94,22
524,22
685,7
273,11
999,21
810,11
255,26
702,15
418,26
975,14
436,0
228,24
876,3
422,0
637,14
307,26
810,22
607,27
950,3
308,24
880,15
353,14
855,21
36,20
869,7
91,22
635,11
341,20
583,3
395,3
390,22
510,27
206,27
181,20
943,15
648,3
572,20
74,22
348,27
987,15
610,21
330,0
862,11
933,21
73,11
247,24
165,0
62,26
813,22
763,11
142,24
973,25
572,15
748,0
251,0
497,11
255,14
440,20
607,7
265,3
749,27
944,26
284,21
623,15
971,0
254,7
166,3
484,3
273,26
807,0
799,26
726,0
25,26
697,3
109,27
833,11
623,7
326,15
601,26
242,25
873,24
315,15
785,25
164,11
992,26
174,26
849,21
155,0
643,21
161,27
932,15
263,11
429,7
603,20
699,21
728,24
9,22
19,25
705,0
3,15
963,20
179,25
472,3
305,7
35,15
578,26
312,24
88,22
98,14
115,27
668,25
833,7
320,25
641,22
292,26
935,20
621,11
166,0
566,0
533,22
984,24
205,0
428,26
66,3
341,0
84,3
426,22
25,14
712,3
107,15
566,22
30,0
445,27
732,27
339,24
587,22
746,11
83,21
570,3
959,7
472,21
931,11
83,0
3,26
106,11
715,14
503,27
657,27
109,14
760,14
786,27
788,20
693,26
951,11
716,7
525,27
835,3
99,3
641,3
518,14
209,3
985,21
797,20
527,7
269,20
783,20
997,15
418,7
994,7
211,15
306,24
620,0
621,15
728,26
976,14
861,3
467,22
907,20
791,27
620,20
761,24
291,24
158,26
121,11
987,7
718,3
930,14
388,11
314,14
807,26
376,27
281,15
144,14
426,14
112,20
683,22
597,24
355,20
997,20
22,7
77,15
633,26
212,26
428,3
341,26
422,21
931,20
547,3
357,22
628,25
396,14
848,11
590,22
197,24
7,3
840,24
48,3
579,7
986,24
272,7
713,11
913,14
468,14
874,0
398,11
304,11
463,3
552,11
914,24
660,21
957,14
434,15
70,0
927,11
760,27
134,21
779,27
421,21
791,26
439,24
53,24
359,15
678,22
861,15
421,24
446,14
49,24
974,24
827,21
490,27
887,24
507,7
346,24
831,20
961,11
582,20
960,25
462,21
637,25
383,22
383,21
207,27
503,21
866,3
702,14
732,7
24,14
599,26
668,14
500,14
693,22
319,3
459,3
205,20
620,15
707,27
822,3
445,15
704,27
193,14
676,14
764,3
431,24
307,15
448,25
10,7
704,11
188,21
271,20
165,21
593,15
435,20
830,7
74,24
407,22
61,11
67,21
218,0
509,0
425,22
774,7
68,26
918,26
857,27
726,27
790,25
579,0
484,0
659,24
773,21
333,27
107,7
483,24
535,14
423,24
106,3
918,15
953,26
624,0
437,11
434,21
816,24
742,26
576,7
210,24
790,22
269,21
794,22
918,3
755,7
308,25
41,0
279,22
619,20
436,27
106,0
202,15
407,14
722,24
425,11
706,14
675,26
965,0
12,20
886,25
698,14
266,21
583,21
861,21
313,25
765,11
27,0
825,15
6,26
540,25
97,25
52,26
174,22
924,11
345,7
480,24
814,21
968,0
916,26
871,26
552,22
424,15
923,11
647,7
658,0
164,24
331,20
985,3
126,14
815,11
780,21
486,21
5,21
560,14
483,20
435,14
909,7
216,21
549,0
948,24
155,20
509,11
860,3
810,14
603,15
519,7
95,11
327,21
476,14
457,14
741,3
848,7
581,25
266,26
629,14
416,25
12,7
711,0
25,15
691,26
911,3
438,14
827,26
371,27
97,0
537,15
331,21
554,14
366,14
966,27
563,11
998,20
222,0
600,7
185,11
631,27
283,20
139,22
575,11
558,27
877,20
438,0
968,24
641,14
567,25
474,24
429,3
917,26
52,0
558,21
62,0
94,26
328,7
418,27
198,3
510,0
660,0
964,15
565,14
14,22
438,24
628,15
821,25
611,14
566,15
836,24
580,26
125,25
881,21
101,14
839,14
853,7
802,0
714,26
359,3
751,15
425,7
313,14
778,7
478,15
299,25
686,22
